rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
1,Pic 38,N,4.057,1014.2,250.0,980.0,1230.0,7513.0,6621.6,5607.3,1997.0,27.965723,86.96451
2,Masherbrum,NE,3.288,1019.2,310.0,470.0,780.0,7694.9,7547.8,6528.6,2838.8,35.645477,76.310515
3,La Yongma Ri,N,3.048,1005.8,330.0,1220.0,1550.0,6571.0,6261.3,5255.5,1454.9,35.039102,77.148221
4,Latok I,N,2.841,1022.6,360.0,100.0,460.0,6988.3,6902.4,5879.8,2378.9,35.929232,75.824804
5,Baintha Brakk,SW,2.788,1003.7,360.0,770.0,1130.0,7232.0,6507.8,5504.1,2280.2,35.941489,75.744514
6,Disteghil Sar,N,2.722,1007.2,370.0,80.0,450.0,7825.1,7717.8,6710.6,1917.3,36.328265,75.18807
7,Honboro Peak,NW,2.64,1003.3,380.0,100.0,480.0,6466.3,6369.0,5365.7,1781.6,35.444732,76.209964
8,Hachindar Chhish,E,2.53,1012.0,400.0,0.0,400.0,6459.9,6427.5,5415.5,2488.9,36.451698,74.473059
9,Gasherbrum IV,S,2.514,1005.4,400.0,850.0,1250.0,7888.6,7725.6,6720.2,1767.3,35.752233,76.616355
10,Latok II,W,2.463,1009.8,410.0,660.0,1070.0,6944.1,6503.4,5493.6,1854.0,35.922316,75.794588
11,Shispare,NE,2.403,1009.2,420.0,500.0,920.0,7589.2,7158.0,6148.7,2601.2,36.445308,74.686546
12,K6 Peak,N,2.35,1010.5,430.0,380.0,810.0,7111.6,6593.0,5582.5,2492.4,35.423466,76.55182
13,Chomo Lonzo,N,2.252,1013.5,450.0,2200.0,2650.0,7752.2,6192.2,5178.6,2738.1,27.952501,87.10776
14,Lāngtāng Lirung,SE,2.244,1009.8,450.0,910.0,1360.0,6952.0,6328.7,5318.9,2150.6,28.248888,85.527625
15,Yubra,N,2.226,1001.8,450.0,420.0,870.0,5860.6,5673.8,4672.0,1456.8,28.274984,85.57708
16,Pumarikish,SE,2.226,1001.5,450.0,1180.0,1630.0,7414.3,7020.9,6019.4,1973.4,36.20212,75.263611
17,Jannu,NE,2.185,1005.3,460.0,1140.0,1600.0,7053.1,7275.4,6270.1,1650.3,27.690837,88.054047
18,Great Trango Tower,NE,2.179,1002.4,460.0,220.0,680.0,6061.3,5960.9,4958.5,1860.7,35.760336,76.205002
19,Saltoro Kangri I,N,2.156,1013.4,470.0,1300.0,1770.0,7668.9,6970.3,5956.9,2010.4,35.413042,76.84898
20,Lhotse,SW,2.151,1010.8,470.0,300.0,770.0,8326.6,8227.5,7216.7,2722.6,27.958636,86.929852
21,Annapurna IV,W,2.151,1010.8,470.0,350.0,820.0,7513.9,7159.7,6148.9,2729.5,28.53639,84.077018
22,Nanga Parbat,SE,2.113,1014.4,480.0,490.0,970.0,8096.3,7578.1,6563.8,3516.1,35.233817,74.595222
23,Napo Peak,N,2.111,1013.1,480.0,80.0,560.0,6867.7,6820.6,5807.5,1446.4,35.808145,76.648719
24,Durbin Kangri I,NE,2.108,1011.9,480.0,110.0,590.0,6717.6,6623.5,5611.6,1604.9,35.998336,76.769269
25,Sosbun Brakk,NE,2.09,1003.3,480.0,960.0,1440.0,5080.6,5863.7,4860.3,338.3,35.940135,75.561144
26,Muztagh Tower,NE,2.087,1001.6,480.0,110.0,590.0,6973.5,7035.3,6033.7,1763.8,35.830427,76.364842
27,Paiju Peak,SE,2.084,1000.6,480.0,160.0,640.0,6606.8,6414.0,5413.4,2622.5,35.712597,76.120005
28,Fishtail,NW,2.069,1014.0,490.0,490.0,980.0,6729.3,6492.7,5478.8,2147.2,28.500327,83.940828
29,Kangchenjunga,E,2.058,1008.5,490.0,580.0,1070.0,8551.9,8026.9,7018.4,2443.7,27.70314,88.155761
30,Rakhiot Peak,S,2.045,1001.9,490.0,140.0,630.0,7003.3,6930.8,5928.9,3111.3,35.255956,74.63811
31,K2,W,2.022,1011.0,500.0,1040.0,1540.0,8565.6,7766.2,6755.2,2627.9,35.88091,76.499038
32,The Hawk,NE,2.005,1002.6,500.0,90.0,590.0,6688.3,6687.0,5684.4,1200.6,35.550365,76.870393
33,Link Sar,NE,1.984,1011.9,510.0,1250.0,1760.0,6443.5,6539.9,5527.9,1957.1,35.450953,76.606005
34,Kunyang Chhish,NW,1.98,1009.8,510.0,300.0,810.0,7697.1,7685.4,6675.7,2697.2,36.207891,75.202841
35,Gauri Sankar,E,1.968,1003.6,510.0,160.0,670.0,6890.1,6761.6,5758.0,2234.6,27.9568,86.341141
36,Hunza Peak,N,1.93,1003.8,520.0,70.0,590.0,6529.0,6474.8,5471.1,1390.0,36.398607,74.675381
37,Taweche,N,1.928,1002.6,520.0,0.0,520.0,5998.2,6019.8,5017.2,1076.6,27.90234,86.78
38,Thanda Parbat,S,1.926,1001.6,520.0,50.0,570.0,6371.1,6365.6,5364.0,1219.5,35.422545,76.507837
39,Chamar,W,1.917,1015.9,530.0,420.0,950.0,7138.2,6905.8,5889.9,3028.7,28.55507,84.937144
40,K7,S,1.888,1000.7,530.0,470.0,1000.0,6594.7,6714.0,5713.3,1402.3,35.459365,76.574804
41,Uli Biaho Tower,NW,1.883,1017.1,540.0,2260.0,2800.0,5599.8,5668.2,4651.2,1120.6,35.756663,76.128133
42,Spantik,NE,1.856,1002.1,540.0,330.0,870.0,7013.5,6666.3,5664.3,1953.0,36.060928,74.970864
43,Broad Peak,NE,1.854,1001.3,540.0,100.0,640.0,7909.9,7850.8,6849.5,2172.0,35.812924,76.571428
44,Manaslu,E,1.852,1000.0,540.0,520.0,1060.0,8036.7,7384.7,6384.7,3066.8,28.54992,84.567699
45,Saturday,SW,1.817,1017.4,560.0,1350.0,1910.0,6543.2,5720.5,4703.1,1932.5,28.488009,85.144619
