rank,peak,direction,gradient,drop,horizontal_dist,start_offset_m,end_offset_m,summit_elev,start_elev,end_elev,total_face_height,latitude,longitude
1,Masherbrum,NE,2.277,2003.5,880.0,400.0,1280.0,7694.9,7700.0,5696.5,3156.2,35.646845,76.312196
2,Nanga Parbat,SE,1.592,2006.4,1260.0,120.0,1380.0,7995.9,8004.9,5998.5,4519.0,35.232538,74.594973
3,Rakhiot Peak,S,1.534,2009.4,1310.0,140.0,1450.0,7003.3,6930.8,4921.3,3520.5,35.252266,74.63811
4,K2,N,1.488,2009.5,1350.0,1000.0,2350.0,8565.6,7774.2,5764.7,3191.2,35.895982,76.51334
5,Kunyang Chhish,NW,1.463,2004.1,1370.0,290.0,1660.0,7697.1,7696.0,5691.9,3324.4,36.210564,75.199535
6,Gasherbrum IV,W,1.46,2000.8,1370.0,60.0,1430.0,7860.1,7843.3,5842.5,2326.3,35.76191,76.607702
7,Yukshin Gardan Sar,NE,1.444,2006.8,1390.0,450.0,1840.0,7363.2,6997.6,4990.7,2982.8,36.258865,75.384719
8,Saltoro Kangri I,W,1.412,2004.8,1420.0,360.0,1780.0,7668.9,7511.1,5506.3,2325.9,35.39923,76.837188
9,Shispare,SW,1.345,2003.9,1490.0,460.0,1950.0,7589.2,7073.8,5070.0,5067.9,36.433123,74.671425
10,Baintha Brakk,E,1.337,2005.1,1500.0,480.0,1980.0,7247.5,7052.3,5047.1,2346.3,35.94743,75.765959
11,Sherpi Kangri,NW,1.299,2001.2,1540.0,50.0,1590.0,7161.5,7136.8,5135.6,2410.1,35.471267,76.774055
12,Pumarikish,SW,1.299,2000.6,1540.0,2680.0,4220.0,7414.3,6895.5,4895.0,2695.6,36.189108,75.225389
13,Gasherbrum I,NE,1.291,2001.4,1550.0,1080.0,2630.0,7958.4,7233.3,5231.9,3001.1,35.736233,76.710924
14,Kanjut Sar,NW,1.291,2001.0,1550.0,7280.0,8830.0,7725.2,6821.1,4820.1,3247.4,36.256822,75.35331
15,Makrong Chhish,NW,1.284,2003.0,1560.0,200.0,1760.0,6515.8,6348.5,4345.5,2233.7,36.094536,75.113457
16,Shispare,S,1.213,2002.1,1650.0,5560.0,7210.0,7589.2,6430.7,4428.6,4583.4,36.383336,74.68094
17,East Peak,N,1.213,2002.0,1650.0,120.0,1770.0,7521.6,7428.9,5427.0,3667.8,35.272433,74.60906
18,Broad Peak,S,1.2,2004.1,1670.0,390.0,2060.0,7909.9,7716.4,5712.3,2255.5,35.799547,76.56853
19,Lupghar Sar,SE,1.186,2003.7,1690.0,8830.0,10520.0,7144.1,7074.5,5070.8,2574.6,36.28911,75.113095
20,Spantik,E,1.171,2001.9,1710.0,0.0,1710.0,7013.5,6984.2,4982.3,2515.5,36.05711,74.975651
21,Great Trango,SW,1.171,2001.7,1710.0,100.0,1810.0,6019.1,6014.0,4012.3,2054.0,35.751384,76.193345
22,Dansam,SE,1.152,2004.3,1740.0,3560.0,5300.0,6473.6,5452.3,3448.0,3135.7,35.175923,76.796668
23,Haramosh,N,1.088,2012.6,1850.0,130.0,1980.0,7306.7,7322.9,5310.2,3967.6,35.849503,74.89749
24,Gasherbrum II,NE,1.081,2000.0,1850.0,130.0,1980.0,7952.0,7881.6,5881.5,3155.1,35.764513,76.661238
25,Ultar Peak,SE,1.076,2000.7,1860.0,220.0,2080.0,7272.1,7151.4,5150.7,3013.2,36.383363,74.725895
26,Ladyfinger Peak,NW,1.055,2005.1,1900.0,10650.0,12550.0,5251.3,6205.1,4200.0,1150.7,36.443808,74.55849
27,Trivor,N,1.054,2002.6,1900.0,60.0,1960.0,7584.0,7568.3,5565.6,2289.9,36.297338,75.08357
28,Bullah,W,1.05,2004.6,1910.0,30.0,1940.0,6225.6,6234.3,4229.7,2778.4,35.74412,75.915418
29,Rakaposhi,S,1.004,2007.3,2000.0,800.0,2800.0,7582.9,7122.9,5115.6,3805.1,36.126323,74.48992
30,Rakaposhi,NE,1.003,2005.0,2000.0,760.0,2760.0,7582.9,7387.0,5382.0,2597.5,36.153718,74.503764
31,Chongra Peak,NW,1.002,2003.4,2000.0,20.0,2020.0,6785.0,6776.8,4773.3,2180.4,35.33065,74.664469
32,Kanjut Sar,S,0.999,2007.6,2010.0,390.0,2400.0,7725.2,7561.8,5554.2,2554.4,36.193017,75.41672
33,Kunyang Chhish North,W,0.991,2001.9,2020.0,0.0,2020.0,7054.7,7054.5,5052.6,2106.4,36.25113,75.211449
34,Diran Peak,SW,0.99,2000.2,2020.0,220.0,2240.0,7112.0,7118.2,5118.0,2164.6,36.112434,74.651908
35,Disteghil Sar,S,0.988,2006.0,2030.0,400.0,2430.0,7825.1,7583.6,5577.7,3067.4,36.313147,75.18807
36,Ladyfinger Peak,N,0.987,2004.3,2030.0,14150.0,16180.0,5251.3,6359.6,4355.2,1900.9,36.506459,74.65
37,Rakhiot Peak,W,0.974,2006.5,2060.0,5860.0,7920.0,7003.3,7108.6,5102.1,3034.5,35.25942,74.56231
38,Momhil Sar,W,0.928,2004.5,2160.0,60.0,2220.0,7420.6,7390.6,5386.1,2231.0,36.31827,75.02449
39,Pumarikish,SE,0.924,2005.0,2170.0,1060.0,3230.0,7414.3,7123.7,5118.7,1973.4,36.197412,75.269437
40,Malubiting,W,0.913,2008.5,2200.0,290.0,2490.0,7271.4,7247.5,5239.0,4156.1,36.0034,74.862365
41,Paposh,W,0.906,2003.3,2210.0,0.0,2210.0,6549.7,6548.0,4544.7,2812.8,36.05852,74.727621
42,Diran Peak,NE,0.886,2003.0,2260.0,790.0,3050.0,7112.0,6609.9,4606.9,2704.8,36.132477,74.676678
43,Rakaposhi,SE,0.852,2002.4,2350.0,5300.0,7650.0,7582.9,6241.1,4238.8,4588.7,36.101321,74.540851
44,Ultar Peak,W,0.837,2000.8,2390.0,4980.0,7370.0,7272.1,6119.5,4118.8,3984.7,36.39068,74.647911
45,West Chongra,SE,0.837,2000.5,2390.0,0.0,2390.0,6432.0,6436.9,4436.4,3725.9,35.291336,74.675251
46,Paposh,SE,0.821,2002.5,2440.0,14210.0,16650.0,6549.7,5796.4,3793.9,3043.6,35.960343,74.86114
47,Rakaposhi,NW,0.816,2008.2,2460.0,1820.0,4280.0,7582.9,6632.1,4623.9,4662.7,36.161926,74.465929
48,Baltoro Kangri,SE,0.803,2000.5,2490.0,2370.0,4860.0,7162.9,7259.3,5258.7,2333.3,35.623899,76.692618
49,Lupghar Sar,NW,0.795,2004.0,2520.0,10960.0,13480.0,7144.1,4998.6,2994.6,4705.5,36.428423,74.940413
50,Yutmaru Sar,S,0.788,2002.3,2540.0,100.0,2640.0,7253.2,7156.9,5154.6,2489.7,36.214122,75.36724
51,Gasherbrum I,SW,0.782,2001.3,2560.0,230.0,2790.0,7958.4,7922.8,5921.4,3075.8,35.714822,76.684595
52,Chogolisa I,S,0.782,2001.1,2560.0,20.0,2580.0,7556.5,7547.7,5546.6,2767.4,35.602032,76.57608
53,Dansam,S,0.77,2000.8,2600.0,3710.0,6310.0,6473.6,5254.9,3254.1,3224.8,35.159028,76.76223
54,Nanga Parbat,NW,0.764,2001.0,2620.0,6950.0,9570.0,7995.9,6242.1,4241.1,4139.8,35.289866,74.524901
55,Gama Sokha Lambi,SW,0.763,2000.2,2620.0,2870.0,5490.0,6229.0,5097.9,3097.7,3466.3,35.725094,75.720303
56,Ladyfinger Peak,S,0.761,2002.5,2630.0,140.0,2770.0,5251.3,5169.1,3166.5,3191.1,36.356907,74.65
57,Chhaltis Brok,NW,0.757,2012.3,2660.0,5400.0,8060.0,5930.1,5103.5,3091.1,3117.3,35.241901,76.646125
58,Rakhiot Peak,E,0.757,2004.8,2650.0,2150.0,4800.0,7003.3,5441.3,3436.5,3748.8,35.25942,74.67634
59,Shimshal Whitehorn,W,0.755,2001.7,2650.0,13140.0,15790.0,6541.0,6331.7,4330.0,2283.5,36.36877,75.113515
60,Kanjut Sar,N,0.748,2005.1,2680.0,820.0,3500.0,7725.2,6973.9,4968.8,1700.4,36.225006,75.41672
61,Bilchhar Dobani,N,0.741,2007.9,2710.0,20.0,2730.0,6108.7,6099.6,4091.7,2243.1,35.968233,74.63388
62,Broad Peak,NW,0.731,2002.1,2740.0,1660.0,4400.0,7909.9,7220.0,5217.9,1791.8,35.829849,76.544797
63,Yazghil Group,E,0.731,2002.0,2740.0,14920.0,17660.0,6345.1,6654.0,4652.0,2238.2,36.19797,75.456878
64,Haramosh,S,0.73,2001.0,2740.0,12390.0,15130.0,7306.7,4013.5,2012.5,5647.2,35.716193,74.89749
65,Gasherbrum II,SW,0.728,2002.1,2750.0,4650.0,7400.0,7952.0,6985.9,4983.8,3226.0,35.719464,76.605819
66,Dansam,NW,0.723,2004.1,2770.0,100.0,2870.0,6473.6,6536.7,4532.6,1628.6,35.213559,76.750686
67,Skyang Kangri,E,0.721,2004.9,2780.0,0.0,2780.0,7444.2,7432.7,5427.8,2084.3,35.92631,76.58292
68,Trivor,NE,0.718,2002.4,2790.0,11480.0,14270.0,7584.0,6513.5,4511.1,3549.6,36.370171,75.185031
69,Sia Kangri,NE,0.702,2001.5,2850.0,0.0,2850.0,7091.6,7110.2,5108.7,2124.1,35.673697,76.773331
70,Spantik,NE,0.7,2010.2,2870.0,9730.0,12600.0,7013.5,5720.1,3709.9,3555.9,36.12815,75.053877
71,Kunyang Chhish,SW,0.697,2000.8,2870.0,1780.0,4650.0,7697.1,6939.1,4938.4,2992.4,36.183904,75.181901
72,Paiju,SE,0.69,2001.0,2900.0,1010.0,3910.0,5702.7,5415.7,3414.7,2309.0,35.701968,76.141996
73,Bojohagur Duanasir,N,0.685,2001.3,2920.0,10830.0,13750.0,7182.4,5574.8,3573.5,3928.2,36.510739,74.69553
74,Bojohagur Duanasir,NE,0.683,2007.3,2940.0,280.0,3220.0,7182.4,7151.0,5143.7,2769.9,36.411285,74.709341
75,Ladyfinger Peak,W,0.673,2012.4,2990.0,1610.0,4600.0,5251.3,5163.0,3150.6,1465.3,36.37,74.615359
76,Trivor,S,0.672,2008.3,2990.0,2140.0,5130.0,7584.0,6934.8,4926.4,1263.6,36.255541,75.08357
77,Gateway Peak (P6880),SE,0.667,2000.8,3000.0,0.0,3000.0,6787.2,6796.3,4795.4,2008.8,36.213406,75.311671
78,Chongra Peak,E,0.665,2008.4,3020.0,480.0,3500.0,6785.0,6650.4,4642.0,3272.1,35.32416,74.69432
79,Yazghil Dome S,SW,0.658,2005.6,3050.0,230.0,3280.0,7386.0,7327.8,5322.2,2984.3,36.296873,75.217876
80,Yazghil Group,W,0.654,2001.1,3060.0,9290.0,12350.0,6345.1,6165.9,4164.8,2292.9,36.19797,75.155093
81,Kanjut Sar II,SW,0.645,2001.0,3100.0,120.0,3220.0,6758.3,6709.7,4708.7,2133.0,36.129744,75.426894
82,East Peak,NW,0.635,2000.3,3150.0,14640.0,17790.0,7521.6,4133.6,2133.2,5489.2,35.367102,74.482913
83,Yazghil Dome S,E,0.634,2002.0,3160.0,1150.0,4310.0,7386.0,7119.3,5117.4,1324.4,36.30804,75.262143
84,Baltoro Kangri,N,0.62,2002.3,3230.0,0.0,3230.0,7162.9,7177.9,5175.6,2043.0,35.661432,76.66436
85,Mango Gusor,NW,0.613,2005.7,3270.0,160.0,3430.0,6240.4,6204.6,4199.0,2113.3,35.588841,75.905671
86,Disteghil Sar,N,0.609,2002.3,3290.0,14640.0,17930.0,7825.1,4949.7,2947.4,4953.0,36.472417,75.18807
87,Chhaltis Brok,SW,0.604,2000.5,3310.0,1680.0,4990.0,5930.1,5030.9,3030.4,2902.6,35.17786,76.672516
88,Kupultung Kung,N,0.601,2002.4,3330.0,60.0,3390.0,6276.6,6279.3,4276.9,2088.9,35.881042,75.05639
89,Gama Sokha Lambi,S,0.592,2002.2,3380.0,2550.0,5930.0,6229.0,5325.9,3323.8,3379.8,35.713537,75.75302
90,Bullah,SE,0.592,2001.3,3380.0,1630.0,5010.0,6225.6,5464.5,3463.2,3075.9,35.722996,75.952303
91,Khumil Gri,SW,0.572,2002.5,3500.0,15030.0,18530.0,6660.4,5532.7,3530.2,3319.8,35.535653,76.415732
92,Lupghar Sar,E,0.566,2008.2,3550.0,200.0,3750.0,7144.1,7140.4,5132.2,2729.1,36.35067,75.058818
93,Bilchhar Dobani,NW,0.563,2002.5,3560.0,6730.0,10290.0,6108.7,4399.2,2396.7,3781.3,36.010007,74.5671
94,Nera,SE,0.562,2002.4,3560.0,10480.0,14040.0,5881.8,6479.4,4477.1,1491.5,35.808513,76.184952
95,Bojohagur Duanasir,E,0.557,2006.8,3600.0,3830.0,7430.0,7182.4,6092.1,4085.2,3298.3,36.40015,74.758365
96,Saltoro Kangri I,E,0.55,2002.3,3640.0,50.0,3690.0,7668.9,7631.9,5629.6,2111.9,35.39923,76.869588
97,Masherbrum,W,0.539,2004.4,3720.0,570.0,4290.0,7694.9,7561.7,5557.3,2998.7,35.6415,76.278769
98,Shispare,NW,0.534,2001.6,3750.0,6980.0,10730.0,7589.2,6779.5,4777.9,2315.3,36.497132,74.611021
99,Momhil Sar,SW,0.534,2001.0,3750.0,12900.0,16650.0,7420.6,4768.0,2766.9,4781.4,36.22426,74.920721
100,Gasherbrum II,N,0.53,2002.8,3780.0,4680.0,8460.0,7952.0,6852.9,4850.1,1600.4,35.816919,76.65298
101,Malubiting,N,0.527,2003.7,3800.0,1030.0,4830.0,7271.4,6882.1,4878.4,2748.5,36.029765,74.8778
102,Kupultung Kung,SE,0.526,2000.6,3800.0,10.0,3810.0,6276.6,6268.5,4267.9,1759.5,35.853367,75.071361
103,Bobisghir,SW,0.526,2000.0,3800.0,11240.0,15040.0,6128.4,6801.4,4801.4,1384.5,35.937623,75.729382
104,Gasherbrum VI,E,0.524,2000.3,3820.0,8720.0,12540.0,6859.5,6964.4,4964.1,1967.6,35.70854,76.749041
105,Koser Gunge,SW,0.518,2005.0,3870.0,1520.0,5390.0,5577.5,5103.5,3098.5,2506.0,35.618567,75.615725
106,Sia Kangri,SW,0.516,2002.2,3880.0,220.0,4100.0,7091.6,7369.4,5367.2,1982.8,35.650886,76.745302
107,Kupultung Kung,E,0.516,2007.3,3890.0,7220.0,11110.0,6276.6,5630.0,3622.8,2700.7,35.86552,75.157984
108,East Peak,SW,0.512,2008.5,3920.0,5830.0,9750.0,7521.6,7023.8,5015.3,2200.2,35.214364,74.548457
109,Yazghil Dome S,N,0.512,2000.7,3910.0,0.0,3910.0,7386.0,7393.6,5392.8,2255.9,36.325632,75.23171
110,Koser Gunge,NW,0.51,2000.2,3920.0,3040.0,6960.0,5577.5,4492.6,2492.5,3111.0,35.672364,75.603649
111,Disteghil Sar,E,0.508,2001.3,3940.0,8310.0,12250.0,7825.1,5998.4,3997.1,3909.1,36.32588,75.302693
112,Muztagh Tower,SE,0.508,2005.4,3950.0,70.0,4020.0,6973.5,6883.9,4878.4,2326.5,35.815188,76.378122
113,Malubiting,SE,0.508,2000.1,3940.0,20.0,3960.0,7271.4,7268.3,5268.2,1123.2,35.990738,74.893425
114,Haramosh,SE,0.505,2001.7,3960.0,13100.0,17060.0,7306.7,4784.7,2783.0,4719.6,35.74406,75.015653
115,Dongbar,W,0.494,2002.7,4050.0,960.0,5010.0,5821.4,5870.9,3868.2,1830.3,35.8123,75.842094
116,Chhaltis Brok,S,0.492,2003.3,4070.0,2010.0,6080.0,5930.1,5249.7,3246.4,1206.4,35.162682,76.69844
117,Sarpo Laggo,W,0.491,2003.7,4080.0,12390.0,16470.0,5905.6,5641.9,3638.2,2436.0,35.81015,76.000796
118,Bilchhar Dobani,S,0.489,2002.9,4100.0,9960.0,14060.0,6108.7,4128.1,2125.1,3983.6,35.84779,74.63388
119,Diran Peak,SE,0.488,2001.7,4100.0,12810.0,16910.0,7112.0,5586.3,3584.5,3829.8,36.025709,74.778433
120,Singhi Kangri,SW,0.483,2010.2,4160.0,80.0,4240.0,7148.0,7124.8,5114.6,1410.6,35.584676,76.966416
121,Teram Kangri Peak,S,0.482,2004.6,4160.0,100.0,4260.0,7321.1,7387.5,5382.9,725.6,35.560584,77.07971
122,Koser Gunge,S,0.474,2003.7,4230.0,6990.0,11220.0,5577.5,4669.3,2665.7,3341.8,35.55862,75.64273
123,Gama Sokha Lambi,NE,0.47,2003.9,4260.0,0.0,4260.0,6229.0,6226.9,4223.0,2155.2,35.765243,75.769692
124,Marble Peak,NE,0.465,2007.2,4320.0,8680.0,13000.0,5693.6,7253.7,5246.5,-409.4,35.843972,76.57516
125,Mango Gusor,E,0.464,2001.2,4310.0,4870.0,9180.0,6240.4,5709.5,3708.3,2581.9,35.57742,75.997281
126,Sherpi Kangri,W,0.464,2018.0,4350.0,1400.0,5750.0,7161.5,6204.4,4186.3,1798.4,35.46605,76.741019
127,Koser Gunge,W,0.455,2002.3,4400.0,4030.0,8430.0,5577.5,5109.9,3107.7,3266.8,35.64055,75.573866
128,Ladyfinger Peak,SW,0.45,2009.7,4470.0,4350.0,8820.0,5251.3,4308.8,2299.1,1283.8,36.328101,74.598052
129,Teram Kangri Peak,W,0.449,2000.0,4450.0,160.0,4610.0,7321.1,7377.5,5377.5,1419.1,35.5802,77.053367
130,Paposh,N,0.446,2001.1,4490.0,5490.0,9980.0,6549.7,5264.7,3263.6,3365.9,36.128122,74.7399
131,Gateway Peak (P6880),N,0.445,2004.2,4500.0,60.0,4560.0,6787.2,6793.0,4788.8,784.3,36.243736,75.29986
132,Shimshal Whitehorn,N,0.443,2004.2,4520.0,4010.0,8530.0,6541.0,5183.1,3178.9,3521.5,36.425189,75.27489
133,Gharkun,SW,0.442,2005.5,4540.0,200.0,4740.0,6424.8,6574.6,4569.1,2002.6,35.069274,76.949587
134,Yazghil Dome S,NW,0.441,2007.3,4550.0,13660.0,18210.0,7386.0,6460.4,4453.1,2746.4,36.409431,75.106102
135,Ultar Peak,E,0.441,2001.7,4540.0,7570.0,12110.0,7272.1,4754.5,2752.7,3549.2,36.39068,74.826628
136,Teram Kangri Peak,N,0.428,2003.4,4680.0,90.0,4770.0,7321.1,7279.6,5276.2,2239.0,35.602066,77.07971
137,Sosbun Brakk,SW,0.427,2002.1,4690.0,12900.0,17590.0,5080.6,4563.8,2561.7,2520.1,35.8355,75.432135
138,Kupultung Kung,SW,0.425,2003.1,4710.0,0.0,4710.0,6276.6,6269.4,4266.4,791.4,35.850536,75.037931
139,East Peak,NE,0.425,2003.0,4710.0,11760.0,16470.0,7521.6,6120.0,4116.9,3521.4,35.35374,74.718869
140,Chhaltis Brok,N,0.422,2000.2,4740.0,0.0,4740.0,5930.1,5970.8,3970.6,2983.7,35.220406,76.69844
141,Saltoro Kangri I,N,0.422,2003.0,4750.0,870.0,5620.0,7668.9,7566.9,5563.9,2010.4,35.42843,76.84898
142,Dansam,W,0.419,2002.6,4780.0,9240.0,14020.0,6473.6,4919.6,2916.9,2057.5,35.20411,76.63437
143,Shimshal Whitehorn,NE,0.415,2006.3,4840.0,4370.0,9210.0,6541.0,5150.3,3144.0,2685.5,36.411973,75.328454
144,Haramosh,E,0.409,2007.0,4910.0,790.0,5700.0,7306.7,7007.1,5000.1,2514.1,35.84001,74.933449
145,Paiju,SW,0.408,2000.8,4900.0,1080.0,5980.0,5702.7,6153.2,4152.4,1237.8,35.695159,76.095132
146,Rakhiot Peak,N,0.408,2000.6,4900.0,13790.0,18690.0,7003.3,4862.5,2862.0,4497.4,35.405553,74.63811
147,Khurdopin Sar,W,0.406,2007.5,4950.0,3730.0,8680.0,4881.5,5952.8,3945.3,1116.7,36.27354,75.51519
148,Muztagh Tower,SW,0.404,2001.1,4950.0,0.0,4950.0,6973.5,6905.4,4904.3,2612.9,35.812452,76.342709
149,Kupultung Kung,S,0.401,2002.2,4990.0,6740.0,11730.0,6276.6,4873.7,2871.4,3558.6,35.782421,75.05639
150,West Chongra,W,0.397,2002.0,5040.0,0.0,5040.0,6432.0,6436.9,4434.9,2030.1,35.29894,74.638213
151,West Chongra,S,0.396,2001.6,5060.0,5490.0,10550.0,6432.0,5355.2,3353.7,3089.4,35.226774,74.66595
152,Yazghil Group,S,0.39,2003.9,5140.0,6210.0,11350.0,6345.1,6190.1,4186.1,1125.5,36.118965,75.27554
153,Sherpi Kangri,SW,0.386,2006.0,5200.0,10260.0,15460.0,7161.5,5267.7,3261.7,3224.3,35.384225,76.680153
154,Gharkun,NE,0.383,2009.6,5250.0,0.0,5250.0,6424.8,6444.3,4434.7,1370.6,35.101692,76.989137
155,Mango Gusor,NE,0.379,2003.0,5280.0,5700.0,10980.0,6240.4,5263.8,3260.7,1591.8,35.630485,75.984825
156,Shimshal Whitehorn,NW,0.379,2001.8,5280.0,80.0,5360.0,6541.0,6523.4,4521.6,1919.9,36.386077,75.253433
157,Koser Gunge,NE,0.378,2005.8,5310.0,3170.0,8480.0,5577.5,5163.3,3157.5,1502.5,35.677613,75.688259
158,Spantik,SW,0.377,2006.0,5320.0,14640.0,19960.0,7013.5,5495.7,3489.8,2421.5,35.947034,74.830219
159,Great Trango,W,0.373,2002.1,5370.0,14610.0,19980.0,6019.1,5374.6,3372.5,2651.8,35.75746,76.009366
160,Chogolisa I,NW,0.371,2008.8,5410.0,690.0,6100.0,7556.5,7081.4,5072.6,1333.2,35.635332,76.549553
161,Lupghar Sar,W,0.363,2000.3,5510.0,3660.0,9170.0,7144.1,6419.0,4418.6,1996.7,36.35067,74.965239
162,Mango Gusor,N,0.363,2006.0,5530.0,4620.0,10150.0,6240.4,5658.5,3652.5,1654.2,35.643873,75.91969
163,Gama Sokha Lambi,SE,0.36,2006.8,5570.0,2140.0,7710.0,6229.0,5607.4,3600.6,1863.5,35.720353,75.791568
164,Shimshal Whitehorn,E,0.356,2007.5,5640.0,180.0,5820.0,6541.0,6469.4,4461.9,1558.3,36.36877,75.308359
165,Skyang Kangri,N,0.355,2001.4,5630.0,90.0,5720.0,7444.2,7461.5,5460.1,1715.8,35.95245,76.5675
166,Kanjut Sar II,S,0.355,2004.9,5650.0,13150.0,18800.0,6758.3,5718.6,3713.6,2621.5,35.996622,75.44003
167,Muztagh Tower,E,0.352,2000.7,5680.0,6490.0,12170.0,6973.5,6989.8,4989.1,2073.8,35.8282,76.465474
168,Angelus,NW,0.348,2003.9,5760.0,10280.0,16040.0,6679.1,6889.3,4885.4,862.9,35.933314,76.388119
169,Lobsang,S,0.348,2005.2,5770.0,20.0,5790.0,6131.8,6106.0,4100.8,1914.4,35.77888,76.30817
170,Skyang Kangri,W,0.344,2000.9,5810.0,120.0,5930.0,7444.2,7472.4,5471.5,727.1,35.92631,76.533942
171,Muztagh Tower,NW,0.331,2003.1,6050.0,130.0,6180.0,6973.5,7065.5,5062.3,1604.9,35.848275,76.337382
172,Dongbar,S,0.321,2004.1,6250.0,0.0,6250.0,5821.4,5814.4,3810.3,1416.9,35.78418,75.87516
173,Kanjut Sar II,N,0.318,2007.9,6310.0,10470.0,16780.0,6758.3,6483.0,4475.2,2033.5,36.262972,75.44003
174,Kanjut Sar II,E,0.318,2000.7,6300.0,10.0,6310.0,6758.3,6755.5,4754.8,2079.8,36.14037,75.475181
175,Paposh,NE,0.314,2005.4,6390.0,500.0,6890.0,6549.7,6520.5,4515.1,2054.5,36.08203,74.768933
176,West Chongra,NE,0.311,2004.4,6440.0,13370.0,19810.0,6432.0,4123.6,2119.2,3369.4,35.404498,74.79507
177,Tahu Rutum,N,0.303,2007.0,6630.0,50.0,6680.0,6323.5,6309.9,4302.9,1572.1,36.151659,75.50989
178,Gasherbrum VI,NE,0.303,2005.6,6630.0,7190.0,13820.0,6859.5,6584.3,4578.7,1504.1,35.775381,76.713618
179,Baintha Brakk,N,0.302,2000.7,6620.0,0.0,6620.0,7247.5,7233.0,5232.3,1988.1,35.977214,75.75231
180,Gasherbrum IV,SE,0.294,2003.8,6810.0,50.0,6860.0,7860.1,7880.8,5877.0,1973.2,35.739927,76.642996
181,Dongbar,SE,0.287,2001.1,6980.0,5540.0,12520.0,5821.4,5185.2,3184.2,1410.3,35.754844,75.945892
182,Kunyang Chhish,NE,0.286,2011.2,7020.0,130.0,7150.0,7697.1,7812.4,5801.2,3011.9,36.22752,75.235864
183,Khurdopin Sar,SW,0.284,2001.2,7040.0,2670.0,9710.0,4881.5,6146.1,4144.9,65.9,36.234154,75.535559
184,Makrong Chhish,SW,0.283,2001.7,7070.0,0.0,7070.0,6515.8,6544.5,4542.9,990.3,36.065808,75.093373
185,Khumil Gri,N,0.282,2000.5,7100.0,180.0,7280.0,6660.4,6673.5,4673.0,1452.5,35.675984,76.54689
186,Kunyang Chhish North,NE,0.271,2001.5,7390.0,90.0,7480.0,7054.7,7048.9,5047.5,1474.4,36.275213,75.252514
187,Koser Gunge,N,0.271,2008.8,7420.0,2790.0,10210.0,5577.5,4677.4,2668.6,1711.3,35.699039,75.64273
188,Pumarikish,N,0.264,2007.0,7610.0,11770.0,19380.0,7414.3,6873.6,4866.6,1954.1,36.351209,75.25255
189,Sherpi Kangri,S,0.261,2007.4,7690.0,40.0,7730.0,7161.5,7138.3,5131.0,1846.8,35.431092,76.78045
190,Dongbar,E,0.261,2013.2,7720.0,90.0,7810.0,5821.4,5783.6,3770.3,827.8,35.8123,75.918916
191,Mango Gusor,S,0.26,2006.9,7710.0,70.0,7780.0,6240.4,6168.1,4161.2,1063.1,35.542102,75.91969
192,Xiaofong Tip,NE,0.26,2005.3,7710.0,4000.0,11710.0,6686.8,7068.7,5063.4,1398.2,35.9537,76.606309
193,Angelus,SW,0.26,2003.3,7710.0,7920.0,15630.0,6679.1,6234.4,4231.2,2173.8,35.774658,76.398973
194,Singhi Kangri,N,0.258,2000.7,7740.0,2630.0,10370.0,7148.0,6875.7,4875.1,1839.6,35.656909,76.98329
195,Kanjut Sar II,W,0.253,2000.1,7920.0,10.0,7930.0,6758.3,6757.0,4756.9,1896.2,36.14037,75.395869
196,Sosbun Brakk,W,0.252,2008.7,7960.0,3500.0,11460.0,5080.6,5744.2,3735.5,1245.8,35.9325,75.468744
197,Paiju,W,0.248,2006.3,8100.0,5580.0,13680.0,5702.7,5183.6,3177.2,905.5,35.71762,76.0162
198,Lobsang,SW,0.241,2030.1,8410.0,0.0,8410.0,6131.8,6120.1,4090.1,1636.8,35.778265,76.275235
199,Makrong Chhish,W,0.228,2000.4,8780.0,0.0,8780.0,6515.8,6544.5,4544.2,1301.0,36.0883,75.072359
